Nub,Genotype_Original,Genotype,Frag_GE,Species,Tank,Treatment,Timepoint,TreatTime,GE_sample,Surface_Area_cm2,red_chan_avg_t0,red_chan_avg_t1,red_chan_avg_t3,red_chan_avg_t4,pam_avg_t0,pam_avg_t1,pam_avg_t2,pam_avg_t3,pam_avg_t4,bw_avg_t0,bw_avg_t1,bw_avg_t2,bw_avg_t3,bw_avg_t4,GE_RawReads,GE_TrimmedReads,GE_HoloMappingEfficiency(%),GE_HolobiontMapCounts,GE_HostCounts,GE_HostMapping Efficiency(%),GE_SymbiontCounts,GE_SymbiontMappingEfficiency(%),GE_HostGenes,GE_SymbiontGenes,gross_photo_t3,gross_photo_t4,net_photo_t3,net_photo_t4,resp_t3,resp_t4,PR_t3,PR_t4
KA1.1,KA,KA_KG,KA1-1,O. franksi,6B,Control,Postheat,Control_Postheat,Postheat,4.09271532,47.5,76.3,46.7,49.2,0.54366667,0.56133333,0.55333333,0.53866667,0.52033333,9.3,9.4,9.48,9.51,9.50666667,5454393,1713114,79,1352613,915183,53.4221891,437430,25.5342026,15029,2037,,,,,,,,
KA1.2,KA,KA_KG,KA1-2,O. franksi,8A,DTV,Preheat,DTV_Preheat,,4.90059625,40.5,48.9,34.5,,0.594,0.61066667,0.554,0.555,,7.49,7.61,7.69,7.71,,,,,,,,,,,,9.06803381,,4.86106816,,4.20696565,,2.15548083,
KA3.1,KA,KA_KG,KA3-1,O. franksi,6C,Control,Preheat,Control_Preheat,Preheat,4.21177069,42.3,70.5,47.7,,0.528,0.54966667,0.56733333,0.53866667,,9.14,9.25,9.31,9.34,,5705638,1566591,85.1,1333059,786852,50.2270216,546207,34.8659606,14454,1945,,,,,,,,
KA3.2,KA,KA_KG,KA3-2,O. franksi,8C,DTV,Postheat,DTV_Postheat,,3.77471982,39.9,74.8,48.1,61,0.58966667,0.61533333,0.60066667,0.567,0.53266667,7.26333333,7.34,7.41,7.42,7.42666667,,,,,,,,,,,,,,,,,,
KA4.1,KA,KA_KG,KA4-1,O. franksi,6A,Control,Postheat,Control_Postheat,,7.35127595,43.4,95,79.2,51.4,0.55466667,0.598,0.54733333,0.55133333,0.532,7.90333333,8.02,8.09333333,8.14,8.16,,,,,,,,,,,,6.25451665,,4.41161278,,1.84290388,,3.393837692
KA4.2,KA,KA_KG,KA4-2,O. franksi,8C,DTV,Preheat,DTV_Preheat,Preheat,7.7842698,51.8,85,75.5,,0.58933333,0.60566667,0.569,0.545,,7.71666667,7.85333333,7.94,7.96,,6580487,1831662,83.9,1536838,963206,52.5864488,573632,31.3175684,15107,2015,,,,,,,,
KA5.1,KA,KA_KG,KA5-1,O. franksi,6A,Control,Preheat,Control_Preheat,,8.91600952,38.3,78.2,69.9,,0.55533333,0.57766667,0.56,0.55633333,,6.70333333,6.86,6.92,6.95,,,,,,,,,,,,4.76573459,,2.26428977,,2.50144481,,1.905192779,
KA5.2,KA,KA_KG,KA5-2,O. franksi,8A,DTV,Postheat,DTV_Postheat,Postheat,9.07284509,54.7,81.3,57.8,60.9,0.578,0.62333333,0.576,0.56633333,0.54566667,7.36,7.53,7.59333333,7.60666667,7.62,6929713,1806197,81.9,1479453,1286196,71.2101725,193257,10.6996634,15413,1404,,,,,,,,
KA6.1,KA,KA_KG,KA6-1,O. franksi,6C,Control,Postheat,Control_Postheat,,6.32289345,54.5,88.4,66.9,69.5,0.53133333,0.572,0.55533333,0.55066667,0.55266667,7.14,7.26333333,7.29,7.35,7.36333333,,,,,,,,,,,,,,,,,,
KA6.2,KA,KA_KG,KA6-2,O. franksi,8B,DTV,Preheat,DTV_Preheat,,9.58030879,52,79.8,55.6,,0.58133333,0.603,0.59933333,0.54866667,,7.94666667,8.13,8.19,8.23,,,,,,,,,,,,6.13264856,,4.30464116,,1.8280074,,3.354826988,
KA7.1,KA,KA_KG,KA7-1,O. franksi,6B,Control,Preheat,Control_Preheat,,2.8044247,51.7,81.9,60.4,,0.539,0.59266667,0.54066667,0.55133333,,7.65333333,7.75,7.85,7.88,,,,,,,,,,,,10.1892266,,5.90386438,,4.28536224,,2.377681519,
KA7.2,KA,KA_KG,KA7-2,O. franksi,8B,DTV,Postheat,DTV_Postheat,,8.20931013,51.6,86.3,41.7,69.4,0.58333333,0.61666667,0.57833333,0.55166667,0.52766667,7.15666667,7.3,7.38,7.41,7.41333333,,,,,,,,,,,,5.48564699,,4.1577886,,1.3278584,,4.131198771
