treatment,tank,date,temperature,salinity,nitrate,phosphate,calcium,alkalinity,magnesium,
,Sys 6,7/28/20,25.8,32.7,,,,,,
,Sys 8,7/28/20,24.9,32.8,,,,,,
new water,Sys 6,7/29/20,25.4,32.4,,,,,,
"replaced heater, new water",Sys 8,7/29/20,,33,,,,,,
corals added,Sys 6,7/30/20,25.9,33.3,,,,,,
corals put in,Sys 8,7/30/20,25.6,33.2,,,,,,
corals added,Sys 6,7/31/20,26,33.4,,,,,,
,Sys 8,7/31/20,25.8,33,,,,,,
,Sys 6,8/3/20,25.7,33.4,,,,,,
,Sys 8,8/3/20,25.7,33.3,,,,,,
,Sys 6,8/4/20,25.7,33.2,,,,,,
,Sys 8,8/4/20,25.8,33.3,,,,,,
,Sys 6,8/5/20,25.6,33.2,,,,,,
,Sys 8,8/5/20,25.7,33.3,,,,,,
15% water change,Sys 6,8/6/20,25.6,33,,,,,,
15% water change,Sys 8,8/6/20,25.5,33.2,,,,,,
,Sys 6,8/7/20,25.6,33.4,,,,,,
,Sys 8,8/7/20,25.6,33.5,,,,,,
,Sys 6,8/10/20,25.7,34.1,,,,,,
,Sys 8,8/10/20,25.8,34.1,,,,,,
,Sys 6,8/11/20,25.8,34.3,,,,,,
,Sys 8,8/11/20,26.3,34.1,,,,,,
20% water change,Sys 6,8/13/20,25.6,34.6,,,,,,
"reglued KF23-2, 20% water change",Sys 8,8/13/20,25.8,34.4,,,,,,
,Sys 6,8/17/20,26,36.5,,,,,,
,Sys 8,8/17/20,26.3,36.5,,,,,,
,Sys 6,8/18/20,25.4,33.7,,,,,,
,Sys 8,8/18/20,25.3,33.6,,,,,,
,Sys 6,8/19/20,26,34.2,,,,,,
,Sys 8,8/19/20,26,33.9,,,,,,
20% water change,Sys 6,8/20/20,25.4,34.6,,,,,,
20% water change,Sys 8,8/20/20,26.1,33.7,,,,,,
,Sys 6,8/21/20,25.5,34.1,,,,,,
,Sys 8,8/21/20,26.4,34.8,,,,,,
,Sys 6,8/24/20,25.5,34,,,,,,
,Sys 8,8/24/20,26.2,34.2,,,,,,
,Sys 6,8/25/20,25.5,33.6,,,,,,
,Sys 8,8/25/20,26.5,33.8,,,,,,
,Sys 6,8/26/20,25.5,34.2,,,,,,
,Sys 8,8/26/20,26.6,33.9,,,,,,
20% water change,Sys 6,8/27/20,25.5,33.6,,,,,,
,Sys 8,8/27/20,26.8,34.1,,,,,,
,Sys 6,8/28/20,25.5,35,,,,,,
,Sys 8,8/28/20,26.6,34.4,,,,,,
,Sys 6,8/31/20,25.4,34.8,,,,,,
,Sys 8,8/31/20,26.2,35.8,,,,,,
,Sys 6,9/1/20,25.5,34.9,,,,,,
,Sys 8,9/1/20,27,36.1,,,,,,
,Sys 6,9/2/20,25.5,34.2,,,,,,
,Sys 8,9/2/20,26.2,34.2,,,,,,
20% water change,Sys 6,9/3/20,25.5,35.2,,,,,,
