sample_name,host_species,treatment,timepoint,genotype_original,fragment,treat_time,genotype
KA1-1,franksi,control,postheat,KA,KA1,cont_pos,KA_KG
KA3-1,franksi,control,preheat,KA,KA3,cont_pre,KA_KG
KA4-2,franksi,thermvar,preheat,KA,KA4,ther_pre,KA_KG
KA4-2R,franksi,thermvar,preheat,KA,KA4,ther_pre,KA_KG
KA5-2,franksi,thermvar,postheat,KA,KA5,ther_pos,KA_KG
KB13-2,franksi,thermvar,preheat,KB,KB13,ther_pre,KB
KB28-1,franksi,control,preheat,KB,KB28,cont_pre,KB
KB39-1,franksi,control,postheat,KB,KB39,cont_pos,KB
KB39-2,franksi,thermvar,postheat,KB,KB39,ther_pos,KB
KE13-1,franksi,control,preheat,KE,KE13,cont_pre,KE
KE14-1,franksi,control,postheat,KE,KE14,cont_pos,KE
KE31-2,franksi,thermvar,postheat,KE,KE31,ther_pos,KE
KE9-2,franksi,thermvar,preheat,KE,KE9,ther_pre,KE
KF19-1,franksi,control,postheat,KF,KF19,cont_pos,KF
KF19-2,franksi,thermvar,postheat,KF,KF19,ther_pos,KF
KF23-2,franksi,thermvar,preheat,KF,KF23,ther_pre,KF
KF9-1,franksi,control,preheat,KF,KF9,cont_pre,KF
KG12-1,franksi,control,preheat,KG,KG12,cont_pre,KA_KG
KG12-2,franksi,thermvar,preheat,KG,KG12,ther_pre,KA_KG
KG31-1,franksi,control,postheat,KG,KG31,cont_pos,KA_KG
KG31-2,franksi,thermvar,postheat,KG,KG31,ther_pos,KA_KG
VB1-2,faveolata,thermvar,preheat,VB,VB1,ther_pre,VB_VD
VB11-1,faveolata,control,postheat,VB,VB11,cont_pos,VB_VD
VB11-2,faveolata,thermvar,postheat,VB,VB11,ther_pos,VB_VD
VB5-1,faveolata,control,preheat,VB,VB5,cont_pre,VB_VD
VD10-1,faveolata,control,preheat,VD,VD10,cont_pre,VB_VD
VD15-2,faveolata,thermvar,preheat,VD,VD15,ther_pre,VB_VD
VD17-1,faveolata,control,postheat,VD,VD17,cont_pos,VB_VD
VD17-2,faveolata,thermvar,postheat,VD,VD17,ther_pos,VB_VD
VE14-2,faveolata,thermvar,preheat,VE,VE14,ther_pre,VE
VE18-1,faveolata,control,postheat,VE,VE18,cont_pos,VE
VE18-2,faveolata,thermvar,postheat,VE,VE18,ther_pos,VE
VE30-1,faveolata,control,preheat,VE,VE30,cont_pre,VE
VF23-2,faveolata,thermvar,preheat,VF,VF23,ther_pre,VF
VF31-1,faveolata,control,preheat,VF,VF31,cont_pre,VF
VF40-1,faveolata,control,postheat,VF,VF40,cont_pos,VF
VF40-2,faveolata,thermvar,postheat,VF,VF40,ther_pos,VF
VG1-1,faveolata,control,postheat,VG,VG1,cont_pos,VG
VG1-2,faveolata,thermvar,postheat,VG,VG1,ther_pos,VG
VG17-2,faveolata,thermvar,preheat,VG,VG17,ther_pre,VG
VG6-1,faveolata,control,preheat,VG,VG6,cont_pre,VG
