Clade,Majority_ITS2_sequence,ITS2_type_profile,ITS2_type_profile_UID
A,A3,A3-A3ac-A3ah-A3m-A3ae-A3ay,254986
B,B1,B1-B1by-B1au-B1bw,255386
B,B2,B2-B2aa-B2ag,255372
B,B2,B2-B2aa-B2ag-B2ah-B2ai-B2af,255373
B,B2/B1,B1/B2,255378
B,B1,B1,255418
B,B1,B1-B1g,255297
B,B2,B2-B2aa-B2z-B2ab,255370
B,B2,B2-B2aa-B2ah-B2ai-B2ag,255374
D,D1,D1-D4-D4c-D2-D4f,257414
D,D1,D1-D4-D2-D4c-D6,257384
D,D1,D1/D4/D2-D4c-D1c-D1h,257503
D,D1,D1-D4-D6-D4c-D4f,257413
D,D1,D1-D4-D4c-D1c-D2,257366
E,E1c,E1c,257717
