,A3-A3ac-A3ah-A3m-A3ae-A3ay,B1-B1by-B1au-B1bw,B2-B2aa-B2ag,B2-B2aa-B2ag-B2ah-B2ai-B2af,B1/B2,B1,B1-B1g,B2-B2aa-B2z-B2ab,B2-B2aa-B2ah-B2ai-B2ag,D1-D4-D4c-D2-D4f,D1-D4-D2-D4c-D6,D1/D4/D2-D4c-D1c-D1h,D1-D4-D6-D4c-D4f,D1-D4-D4c-D1c-D2,E1c
VG1-1,0,0,0,0,0,0,0,0,0,27229,0,0,0,0,0
KB28-1,0,0,0,0,0,0,0,0,0,34352,0,0,0,0,0
KA4-2,0,0,0,0,0,0,0,0,0,24687,0,0,0,0,0
KA5-2,0,0,0,0,0,0,0,0,0,22715,0,0,0,0,0
VD10-1,0,0,0,0,0,0,0,0,0,21584,0,0,0,0,0
VD15-2,0,0,0,0,0,0,0,0,0,19313,0,0,0,0,0
KE13-1,0,0,0,0,160,0,0,0,0,41429,0,0,0,0,0
VE14-2,0,0,0,0,0,0,0,0,0,13587,0,0,0,0,0
VB11-2,0,0,0,0,0,0,0,0,0,16729,0,0,0,0,0
KE31-2,0,0,0,0,0,0,0,0,0,13837,0,0,0,0,0
VB5-1,0,0,0,0,0,0,0,0,0,32468,0,0,0,0,0
KA1-1,0,0,136,0,0,0,0,0,0,30911,0,0,0,0,0
VD17-2,0,0,0,0,0,0,0,0,0,21109,0,0,0,0,0
VG6-1,0,0,154,0,0,34,0,0,0,11664,0,0,0,0,0
VG17-2,0,0,0,0,0,0,0,0,0,8305,0,0,0,0,0
VE30-1,0,0,0,0,0,0,0,0,0,0,30689,0,0,0,0
KE9-2,0,0,0,0,0,0,0,0,0,0,23052,0,0,0,0
VF23-2,0,0,0,0,0,0,0,0,0,0,36012,0,0,0,0
VB11-1,0,0,0,0,0,0,0,0,0,0,28509,0,0,0,0
VF40-1,0,0,0,0,0,0,0,0,0,0,21535,0,0,0,0
VE18-1,0,0,0,0,0,0,0,0,0,0,17799,0,0,0,0
VF31-1,0,0,0,0,0,0,0,0,0,0,18074,0,0,0,0
KB39-1,0,0,0,0,144,0,0,0,0,0,26053,0,0,0,0
KG12-2,0,0,0,0,0,0,0,0,0,0,25603,0,0,0,0
KA4-2R,0,0,0,209,0,32,0,0,0,0,20852,0,0,0,0
KG31-2,0,0,0,0,157,0,0,0,0,0,17360,0,0,0,0
KG12-1,0,214,0,0,0,0,0,0,0,0,42992,0,0,0,0
KE14-1,0,0,0,0,0,0,0,0,0,0,12190,0,0,0,0
KA3-1,0,0,0,0,0,19,0,0,150,0,23490,0,0,0,0
VE18-2,0,0,0,396,0,0,0,0,0,0,22072,0,0,0,0
KB13-2,0,0,0,0,0,0,3262,0,0,0,26354,0,0,0,0
KF23-2,0,12656,0,0,0,0,0,0,0,8213,0,0,0,0,0
KF19-1,0,6574,0,0,0,0,0,0,0,5732,0,0,0,0,0
KF9-1,0,9492,0,0,0,0,0,0,0,10894,0,0,0,0,0
KG31-1,19488,0,0,618,0,0,0,0,0,0,507,0,0,0,0
VD17-1,29414,0,0,0,0,0,0,303,0,2515,0,0,0,0,264
KB39-2,12482,0,182,0,0,0,0,0,0,4104,0,0,0,0,0
VB1-2,0,0,0,0,0,0,0,0,0,0,0,19196,0,0,0
KF19-2,0,8838,0,0,0,0,0,0,0,0,0,22236,0,0,0
VF40-2,0,0,156,0,0,0,0,0,0,0,0,0,24147,0,0
VG1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,27636,0
