QW917_000002	extracellular region;lytic vacuole;cellular anatomical entity;membrane;cytoplasm;lysosome;intracellular membrane-bounded organelle;vacuole;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;extracellular space;peptidase activity;hydrolase activity;cysteine-type endopeptidase activity;cysteine-type peptidase activity;catalytic activity;endopeptidase activity;catalytic activity, acting on a protein;cellular process;catabolic process;organonitrogen compound catabolic process;proteolysis;protein catabolic process;metabolic process;protein metabolic process;protein metabolic process;proteolysis involved in protein catabolic process;nitrogen compound metabolic process;organonitrogen compound metabolic process;macromolecule catabolic process;cellular metabolic process;obsolete cellular macromolecule metabolic process;obsolete cellular macromolecule catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process;organic substance metabolic process;protein catabolic process;macromolecule metabolic process"
QW917_000003	membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;cellular process;transport;localization;establishment of localization;transmembrane transport
QW917_000004	membrane;cellular anatomical entity;transmembrane transporter activity;transporter activity;cellular process;transport;localization;establishment of localization;transmembrane transport
QW917_000006	obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;molecular transducer activity;transmembrane signaling receptor activity;signaling receptor activity;G protein-coupled receptor activity;cellular process;regulation of intracellular signal transduction;G protein-coupled receptor signaling pathway;response to stimulus;signal transduction;second-messenger-mediated signaling;regulation of catalytic activity;regulation of adenylate cyclase activity;regulation of signaling;regulation of signal transduction;activation of adenylate cyclase activity;cell communication;regulation of cyclase activity;regulation of response to stimulus;adenylate cyclase-activating G protein-coupled receptor signaling pathway;biological regulation;cAMP-mediated signaling;regulation of molecular function;cyclic-nucleotide-mediated signaling;regulation of biological process;regulation of cellular process;cellular response to stimulus;regulation of cAMP-mediated signaling;signaling;adenylate cyclase-modulating G protein-coupled receptor signaling pathway;regulation of cell communication;regulation of lyase activity;intracellular signal transduction
QW917_000007	"obsolete intrinsic component of plasma membrane;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;cell periphery;membrane;membrane;cellular anatomical entity;carboxylic acid binding;cyclase activity;signaling receptor activity;anion binding;glutamate receptor activity;small molecule binding;transmembrane signaling receptor activity;ion binding;molecular transducer activity;phosphorus-oxygen lyase activity;catalytic activity;lyase activity;adenylate cyclase activity;binding;G protein-coupled receptor activity;cellular process;chemical synaptic transmission;G protein-coupled receptor signaling pathway;synaptic transmission, glutamatergic;response to stimulus;glutamate receptor signaling pathway;signal transduction;trans-synaptic signaling;regulation of signaling;cell communication;biological regulation;cell surface receptor signaling pathway;regulation of biological process;cell-cell signaling;regulation of cellular process;regulation of synaptic transmission, glutamatergic;cellular response to stimulus;modulation of chemical synaptic transmission;signaling;regulation of cell communication;synaptic signaling;anterograde trans-synaptic signaling;regulation of trans-synaptic signaling"
QW917_000008	central nervous system development;cellular process;brain development;head development;developmental process;system development;neuron differentiation;neurogenesis;nervous system development;multicellular organismal process;animal organ development;cell differentiation;generation of neurons;cellular developmental process;anatomical structure development;multicellular organism development
QW917_000010	neuron projection;plasma membrane region;plasma membrane;membrane;cell periphery;cell projection;axon;plasma membrane bounded cell projection;cellular anatomical entity;cell-cell adhesion mediator activity;cell adhesion molecule binding;binding;protein binding;cellular process;cell part morphogenesis;obsolete biological adhesion;cell projection organization;neuron development;plasma membrane bounded cell projection morphogenesis;nervous system development;response to stimulus;locomotion;anatomical structure morphogenesis;cell adhesion;neuron differentiation;axon guidance;cellular component organization;cell projection morphogenesis;cell morphogenesis involved in neuron differentiation;obsolete movement of cell or subcellular component;generation of neurons;anatomical structure development;plasma membrane bounded cell projection organization;homophilic cell adhesion via plasma membrane adhesion molecules;multicellular organism development;neuron projection guidance;cell recognition;developmental process;cellular component morphogenesis;response to chemical;taxis;system development;cell-cell adhesion;response to external stimulus;cell development;neurogenesis;multicellular organismal process;axon development;cell-cell adhesion via plasma-membrane adhesion molecules;cellular developmental process;cell morphogenesis involved in differentiation;neuron projection morphogenesis;cell morphogenesis;neuron projection development;cellular component organization or biogenesis;axonogenesis;cell differentiation;chemotaxis
QW917_000011	"hydrolase activity;phosphatase activity;catalytic activity;hydrolase activity, acting on ester bonds;phosphoric ester hydrolase activity;phosphorus metabolic process;cellular process;metabolic process;cellular metabolic process;phosphate-containing compound metabolic process;dephosphorylation"
QW917_000012	central nervous system development;cellular process;brain development;head development;developmental process;system development;neuron differentiation;neurogenesis;nervous system development;multicellular organismal process;animal organ development;cell differentiation;generation of neurons;cellular developmental process;anatomical structure development;multicellular organism development
QW917_000014	intracellular anatomical structure;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity
QW917_000015	"sequence-specific double-stranded DNA binding;transcription cis-regulatory region binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;cis-regulatory region sequence-specific DNA binding;heterocyclic compound binding;organic cyclic compound binding;double-stranded DNA binding;sequence-specific DNA binding;nucleic acid binding;transcription regulator activity;DNA-binding transcription factor activity;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA binding;binding;transcription regulatory region nucleic acid binding;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;transcription by RNA polymerase II;regulation of transcription by RNA polymerase II;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
